Date,Open,High,Low,Close,Adj Close,Volume
18-03-2025,0.173472002,0.173472002,0.163237005,0.168028995,0.168028995,1046683878
19-03-2025,0.168028995,0.178516999,0.167004004,0.178065002,0.178065002,1238919491
20-03-2025,0.178069994,0.179005995,0.167042002,0.169350997,0.169350997,959535286
21-03-2025,0.169350997,0.171400994,0.164958999,0.167061999,0.167061999,743835419
22-03-2025,0.167068005,0.169545993,0.166804001,0.167343006,0.167343006,438263314
23-03-2025,0.167342007,0.172252998,0.167180002,0.172252998,0.172252998,564898047
24-03-2025,0.172246993,0.188945994,0.170879006,0.182889,0.182889,1472602266
25-03-2025,0.182889998,0.193350002,0.181282997,0.190909997,0.190909997,1549790934
26-03-2025,0.190908,0.205378994,0.189851999,0.194797993,0.194797993,2068603477
27-03-2025,0.194797993,0.200384006,0.188311994,0.190494999,0.190494999,1282332601
28-03-2025,0.190494999,0.192580998,0.177484006,0.180189997,0.180189997,1407200953
29-03-2025,0.180190995,0.182207003,0.166583002,0.169565007,0.169565007,1120659030
30-03-2025,0.169570997,0.172209993,0.164974004,0.166318998,0.166318998,831596449
31-03-2025,0.166318998,0.168211997,0.160492003,0.166714996,0.166714996,1321114553
01-04-2025,0.166715994,0.175145,0.166215003,0.174086004,0.174086004,1149373221
02-04-2025,0.174086004,0.178698003,0.162408993,0.164195001,0.164195001,1734215164
03-04-2025,0.164195001,0.167239994,0.155735001,0.162059993,0.162059993,1201472795
04-04-2025,0.162058994,0.172579005,0.160429999,0.171097994,0.171097994,1645454216
05-04-2025,0.171097994,0.171413004,0.166378006,0.169027001,0.169027001,607481980
06-04-2025,0.169027001,0.169769004,0.146451995,0.148845002,0.148845002,1267445532
07-04-2025,0.148845002,0.152600005,0.131506994,0.149520993,0.149520993,3512035481
08-04-2025,0.149519995,0.156727001,0.141514003,0.142106995,0.142106995,1829881699
09-04-2025,0.142109007,0.164026007,0.136720002,0.160371006,0.160371006,2265462273
10-04-2025,0.160371006,0.160376996,0.149418995,0.153666005,0.153666005,1231567926
11-04-2025,0.153668001,0.162139997,0.153363004,0.160089001,0.160089001,864574135
12-04-2025,0.160089001,0.169333994,0.157876998,0.167611003,0.167611003,867802910
13-04-2025,0.167611003,0.168488994,0.161320001,0.162791997,0.162791997,874509965
14-04-2025,0.162791997,0.168641001,0.157689005,0.158500999,0.158500999,988651639
